date,open,high,low,close,volume,barCount,wap
2004-01-23 09:30:00,115.0,115.16,114.86,115.0,30361,2508,115.034
2004-01-23 10:00:00,115.01,115.37,114.88,114.94,42468,4189,115.161
2004-01-23 11:00:00,114.93,115.07,114.79,115.01,37091,2656,114.916
2004-01-23 12:00:00,115.0,115.0,114.43,114.55,31470,2806,114.681
2004-01-23 13:00:00,114.54,114.67,114.3,114.31,32217,2231,114.545
2004-01-23 14:00:00,114.31,114.52,114.17,114.4,31039,3084,114.322
2004-01-23 15:00:00,114.38,114.45,113.95,114.36,71962,4366,114.239
2004-01-23 16:00:00,114.39,114.51,114.3,114.45,6089,283,114.411
2004-01-26 09:30:00,114.39,114.78,114.39,114.67,44220,2448,114.583
2004-01-26 10:00:00,114.68,114.8,114.43,114.7,41057,3178,114.587
2004-01-26 11:00:00,114.71,114.79,114.4,114.6,41261,2743,114.532
2004-01-26 12:00:00,114.61,114.75,114.47,114.67,10757,1610,114.645
2004-01-26 13:00:00,114.67,114.87,114.61,114.69,19319,1970,114.741
2004-01-26 14:00:00,114.69,115.32,114.68,115.32,37315,3184,115.094
2004-01-26 15:00:00,115.32,115.91,115.28,115.8,74248,4425,115.631
2004-01-26 16:00:00,115.81,115.93,115.81,115.87,8588,262,115.869
2004-01-27 09:30:00,115.75,116.5,115.58,115.73,28537,2133,115.742
2004-01-27 10:00:00,115.73,115.85,115.55,115.61,51042,3708,115.701
2004-01-27 11:00:00,115.58,115.67,115.31,115.35,37731,2973,115.441
2004-01-27 12:00:00,115.34,115.35,115.06,115.13,37189,2401,115.143
2004-01-27 13:00:00,115.15,115.19,114.75,115.04,41713,3313,114.945
2004-01-27 14:00:00,115.05,115.16,114.79,114.97,30693,2689,115.028
2004-01-27 15:00:00,114.97,115.1,114.7,114.73,52251,3935,114.863
2004-01-27 16:00:00,114.7,114.77,114.65,114.7,9376,328,114.715
2004-01-28 09:30:00,114.98,115.14,114.95,115.1,28362,2022,115.065
2004-01-28 10:00:00,115.11,115.27,114.95,115.19,38461,2833,115.129
2004-01-28 11:00:00,115.2,115.28,115.05,115.15,22984,2497,115.163
2004-01-28 12:00:00,115.15,115.17,115.02,115.08,13578,1394,115.078
2004-01-28 13:00:00,115.07,115.23,115.02,115.16,18168,1466,115.128
2004-01-28 14:00:00,115.14,115.2,113.46,113.9,191875,10533,114.173
2004-01-28 15:00:00,113.88,114.03,112.94,113.25,143360,8584,113.382
2004-01-28 16:00:00,113.26,113.4,113.24,113.37,7453,367,113.306
2004-02-02 09:30:00,113.7,113.89,113.59,113.82,29444,2553,113.748
2004-02-02 10:00:00,113.81,113.82,113.13,113.16,81082,5820,113.404
2004-02-02 11:00:00,113.22,114.11,113.12,114.08,45560,3420,113.56
2004-02-02 12:00:00,114.07,114.68,113.26,114.53,50315,4033,114.272
2004-02-02 13:00:00,114.52,114.64,114.38,114.5,25942,2654,114.505
2004-02-02 14:00:00,114.5,114.57,114.32,114.49,26313,2785,114.449
2004-02-02 15:00:00,114.5,114.57,113.35,113.83,90032,5927,113.79
2004-02-02 16:00:00,113.84,113.97,113.8,113.93,11975,496,113.88
2004-02-03 09:30:00,113.74,113.95,113.44,113.84,40814,2355,113.653
2004-02-03 10:00:00,113.84,114.02,113.5,113.9,47652,3604,113.832
2004-02-03 11:00:00,113.91,114.0,113.64,113.73,26593,2830,113.876
2004-02-03 12:00:00,113.72,114.1,113.68,114.01,16340,1585,113.948
2004-02-03 13:00:00,114.01,114.14,113.87,113.98,12516,1250,113.991
2004-02-03 14:00:00,113.97,114.07,113.57,113.81,37072,2963,113.789
2004-02-03 15:00:00,113.79,114.0,113.76,113.95,33193,3113,113.895
2004-02-03 16:00:00,113.98,114.03,113.78,113.78,19299,532,113.952
2004-02-04 09:30:00,113.19,113.4,113.14,113.21,36077,1941,113.251
2004-02-04 10:00:00,113.22,113.73,112.95,113.6,96692,6630,113.398
2004-02-04 11:00:00,113.6,113.69,113.36,113.47,30036,3004,113.531
2004-02-04 12:00:00,113.47,113.67,113.41,113.5,20022,1956,113.563
2004-02-04 13:00:00,113.51,113.67,113.22,113.25,32116,2434,113.486
2004-02-04 14:00:00,113.24,113.94,112.79,112.96,76696,6724,112.994
2004-02-04 15:00:00,112.95,113.37,112.89,113.03,59032,5858,113.153
2004-02-04 16:00:00,113.04,113.94,112.85,112.89,16475,454,112.98
2004-02-05 09:30:00,113.17,113.33,112.97,113.05,43282,2389,113.156
2004-02-05 10:00:00,113.07,113.26,112.93,112.97,40428,4061,113.094
2004-02-05 11:00:00,112.98,113.08,112.78,112.96,46583,3488,112.919
2004-02-05 12:00:00,112.96,113.07,112.84,113.07,13265,1861,112.942
2004-02-05 13:00:00,113.06,113.54,112.99,113.32,70225,3861,113.325
2004-02-05 14:00:00,113.34,113.49,112.98,113.02,40538,2765,113.286
2004-02-05 15:00:00,113.03,113.47,113.0,113.26,59396,3446,113.216
2004-02-05 16:00:00,113.3,113.35,113.14,113.18,16951,446,113.278
2004-02-06 09:30:00,113.42,113.62,113.2,113.38,51142,2910,113.423
2004-02-06 10:00:00,113.37,114.47,113.34,114.35,92398,6679,114.017
2004-02-06 11:00:00,114.36,114.38,114.08,114.18,24779,2898,114.264
2004-02-06 12:00:00,114.16,114.36,114.09,114.22,20413,2529,114.245
2004-02-06 13:00:00,114.21,114.4,114.14,114.33,17599,2381,114.264
2004-02-06 14:00:00,114.32,114.57,114.19,114.47,18751,2708,114.368
2004-02-06 15:00:00,114.45,114.69,113.25,114.66,52654,4135,114.307
2004-02-06 16:00:00,114.66,114.7,114.42,114.43,19503,601,114.593
2004-02-09 09:30:00,114.67,114.69,114.43,114.58,31435,1977,114.569
2004-02-09 10:00:00,114.57,114.71,114.42,114.55,22182,3398,114.589
2004-02-09 11:00:00,114.56,114.69,114.45,114.65,23679,2362,114.579
2004-02-09 12:00:00,114.65,114.76,114.5,114.6,26130,2339,114.614
2004-02-09 13:00:00,114.6,114.87,114.59,114.75,19751,2038,114.75
2004-02-09 14:00:00,114.75,114.78,114.35,114.4,24045,2577,114.584
2004-02-09 15:00:00,114.4,114.49,114.29,114.34,71932,4297,114.373
2004-02-09 16:00:00,114.34,114.52,114.32,114.45,16682,394,114.381
2004-02-10 10:00:00,114.52,114.84,114.41,114.79,32485,3016,114.618
2004-02-10 11:00:00,114.82,114.83,114.62,114.68,19864,1807,114.752
2004-02-10 12:00:00,114.68,115.14,114.64,115.09,23379,2327,114.86
2004-02-10 13:00:00,115.08,115.09,114.92,115.0,17565,1972,115.001
2004-02-10 14:00:00,114.97,115.08,114.52,114.61,51272,3321,114.73
